"index" "risk" "risk_base" "risk_percent_diff" "risk_percent_point_diff" "risk_relative"
"38malepostgraduate01101" 5.3 0.7 657 4.6 7.6
"38malepostgraduate01110" 5.4 0.7 671 4.7 7.7
"38malepostgraduate01111" 8 0.7 1043 7.3 11.4
"38malepostgraduate10000" 1.3 0.7 86 0.6 1.9
"38malepostgraduate10001" 1.6 0.7 129 0.9 2.3
"38malepostgraduate10010" 2 0.7 186 1.3 2.9
"38malepostgraduate10011" 2.5 0.7 257 1.8 3.6
"38malepostgraduate10100" 3.7 0.7 429 3 5.3
"38malepostgraduate10101" 4.5 0.7 543 3.8 6.4
"38malepostgraduate10110" 5.6 0.7 700 4.9 8
"38malepostgraduate10111" 6.9 0.7 886 6.2 9.9
"38malepostgraduate11000" 2.2 0.7 214 1.5 3.1
"38malepostgraduate11001" 2.7 0.7 286 2 3.9
"38malepostgraduate11010" 3.3 0.7 371 2.6 4.7
"38malepostgraduate11011" 4.1 0.7 486 3.4 5.9
"38malepostgraduate11100" 6 0.7 757 5.3 8.6
"38malepostgraduate11101" 7.3 0.7 943 6.6 10.4
"38malepostgraduate11110" 9.1 0.7 1200 8.4 13
"38malepostgraduate11111" 11.1 0.7 1486 10.4 15.9
"38malesecondary00000" 0.9 0.7 29 0.2 1.3
"38malesecondary00001" 1.4 0.7 100 0.7 2
"38malesecondary00010" 1.4 0.7 100 0.7 2
"38malesecondary00011" 2.2 0.7 214 1.5 3.1
"38malesecondary00100" 3.1 0.7 343 2.4 4.4
"38malesecondary00101" 4.6 0.7 557 3.9 6.6
"38malesecondary00110" 4.7 0.7 571 4 6.7
"38malesecondary00111" 7 0.7 900 6.3 10
"38malesecondary01000" 1.6 0.7 129 0.9 2.3
"38malesecondary01001" 2.3 0.7 229 1.6 3.3
"38malesecondary01010" 2.4 0.7 243 1.7 3.4
"38malesecondary01011" 3.5 0.7 400 2.8 5
"38malesecondary01100" 5 0.7 614 4.3 7.1
"38malesecondary01101" 7.4 0.7 957 6.7 10.6
"38malesecondary01110" 7.6 0.7 986 6.9 10.9
"38malesecondary01111" 11.2 0.7 1500 10.5 16
"38malesecondary10000" 1.9 0.7 171 1.2 2.7
"38malesecondary10001" 2.3 0.7 229 1.6 3.3
"38malesecondary10010" 2.9 0.7 314 2.2 4.1
"38malesecondary10011" 3.6 0.7 414 2.9 5.1
"38malesecondary10100" 5.2 0.7 643 4.5 7.4
"38malesecondary10101" 6.4 0.7 814 5.7 9.1
"38malesecondary10110" 7.9 0.7 1029 7.2 11.3
"38malesecondary10111" 9.7 0.7 1286 9 13.9
"38malesecondary11000" 3.1 0.7 343 2.4 4.4
"38malesecondary11001" 3.8 0.7 443 3.1 5.4
"38malesecondary11010" 4.7 0.7 571 4 6.7
"38malesecondary11011" 5.8 0.7 729 5.1 8.3
"38malesecondary11100" 8.4 0.7 1100 7.7 12
"38malesecondary11101" 10.3 0.7 1371 9.6 14.7
"38malesecondary11110" 12.7 0.7 1714 12 18.1
"38malesecondary11111" 15.4 0.7 2100 14.7 22
"38maletertiary00000" 0.8 0.7 14 0.1 1.1
"38maletertiary00001" 1.2 0.7 71 0.5 1.7
"38maletertiary00010" 1.2 0.7 71 0.5 1.7
"38maletertiary00011" 1.8 0.7 157 1.1 2.6
"38maletertiary00100" 2.5 0.7 257 1.8 3.6
"38maletertiary00101" 3.8 0.7 443 3.1 5.4
"38maletertiary00110" 3.9 0.7 457 3.2 5.6
"38maletertiary00111" 5.8 0.7 729 5.1 8.3
"38maletertiary01000" 1.3 0.7 86 0.6 1.9
"38maletertiary01001" 1.9 0.7 171 1.2 2.7
"38maletertiary01010" 2 0.7 186 1.3 2.9
"38maletertiary01011" 2.9 0.7 314 2.2 4.1
"38maletertiary01100" 4.2 0.7 500 3.5 6
"38maletertiary01101" 6.2 0.7 786 5.5 8.9
"38maletertiary01110" 6.3 0.7 800 5.6 9
"38maletertiary01111" 9.3 0.7 1229 8.6 13.3
"38maletertiary10000" 1.6 0.7 129 0.9 2.3
"38maletertiary10001" 1.9 0.7 171 1.2 2.7
"38maletertiary10010" 2.4 0.7 243 1.7 3.4
"38maletertiary10011" 2.9 0.7 314 2.2 4.1
"38maletertiary10100" 4.3 0.7 514 3.6 6.1
"38maletertiary10101" 5.3 0.7 657 4.6 7.6
"38maletertiary10110" 6.6 0.7 843 5.9 9.4
"38maletertiary10111" 8.1 0.7 1057 7.4 11.6
"38maletertiary11000" 2.6 0.7 271 1.9 3.7
"38maletertiary11001" 3.2 0.7 357 2.5 4.6
"38maletertiary11010" 3.9 0.7 457 3.2 5.6
"38maletertiary11011" 4.8 0.7 586 4.1 6.9
"38maletertiary11100" 7 0.7 900 6.3 10
"38maletertiary11101" 8.6 0.7 1129 7.9 12.3
"38maletertiary11110" 10.6 0.7 1414 9.9 15.1
"38maletertiary11111" 12.9 0.7 1743 12.2 18.4
"39femalebasic00000" 0.7 0.4 75 0.3 1.7
"39femalebasic00001" 1 0.4 150 0.6 2.5
"39femalebasic00010" 1 0.4 150 0.6 2.5
"39femalebasic00011" 1.5 0.4 275 1.1 3.8
"39femalebasic00100" 2 0.4 400 1.6 5
"39femalebasic00101" 3.1 0.4 675 2.7 7.8
"39femalebasic00110" 3 0.4 650 2.6 7.5
"39femalebasic00111" 4.5 0.4 1025 4.1 11.2
"39femalebasic01000" 1.1 0.4 175 0.7 2.8
"39femalebasic01001" 1.7 0.4 325 1.3 4.2
"39femalebasic01010" 1.6 0.4 300 1.2 4
"39femalebasic01011" 2.4 0.4 500 2 6
"39femalebasic01100" 3.4 0.4 750 3 8.5
"39femalebasic01101" 5 0.4 1150 4.6 12.5
"39femalebasic01110" 4.9 0.4 1125 4.5 12.2
"39femalebasic01111" 7.3 0.4 1725 6.9 18.2
"39femalebasic10000" 1.3 0.4 225 0.9 3.2
"39femalebasic10001" 1.7 0.4 325 1.3 4.2
"39femalebasic10010" 2 0.4 400 1.6 5
"39femalebasic10011" 2.4 0.4 500 2 6
"39femalebasic10100" 3.5 0.4 775 3.1 8.8
"39femalebasic10101" 4.3 0.4 975 3.9 10.7
"39femalebasic10110" 5.1 0.4 1175 4.7 12.7
"39femalebasic10111" 6.3 0.4 1475 5.9 15.7
"39femalebasic11000" 2.2 0.4 450 1.8 5.5
"39femalebasic11001" 2.7 0.4 575 2.3 6.8
"39femalebasic11010" 3.2 0.4 700 2.8 8
"39femalebasic11011" 4 0.4 900 3.6 10
"39femalebasic11100" 5.6 0.4 1300 5.2 14
"39femalebasic11101" 6.9 0.4 1625 6.5 17.2
"39femalebasic11110" 8.2 0.4 1950 7.8 20.5
"39femalebasic11111" 10 0.4 2400 9.6 25
"39femalepostgraduate00000" 0.4 0.4 0 0 1
"39femalepostgraduate00001" 0.6 0.4 50 0.2 1.5
"39femalepostgraduate00010" 0.6 0.4 50 0.2 1.5
"39femalepostgraduate00011" 0.9 0.4 125 0.5 2.2
"39femalepostgraduate00100" 1.2 0.4 200 0.8 3
"39femalepostgraduate00101" 1.8 0.4 350 1.4 4.5
"39femalepostgraduate00110" 1.8 0.4 350 1.4 4.5
"39femalepostgraduate00111" 2.7 0.4 575 2.3 6.8
"39femalepostgraduate01000" 0.7 0.4 75 0.3 1.7
"39femalepostgraduate01001" 1 0.4 150 0.6 2.5
"39femalepostgraduate01010" 1 0.4 150 0.6 2.5
"39femalepostgraduate01011" 1.4 0.4 250 1 3.5
"39femalepostgraduate01100" 2 0.4 400 1.6 5
"39femalepostgraduate01101" 3 0.4 650 2.6 7.5
"39femalepostgraduate01110" 2.9 0.4 625 2.5 7.2
"39femalepostgraduate01111" 4.4 0.4 1000 4 11
"39femalepostgraduate10000" 0.8 0.4 100 0.4 2
"39femalepostgraduate10001" 1 0.4 150 0.6 2.5
"39femalepostgraduate10010" 1.2 0.4 200 0.8 3
"39femalepostgraduate10011" 1.4 0.4 250 1 3.5
"39femalepostgraduate10100" 2.1 0.4 425 1.7 5.2
"39femalepostgraduate10101" 2.5 0.4 525 2.1 6.2
"39femalepostgraduate10110" 3 0.4 650 2.6 7.5
"39femalepostgraduate10111" 3.7 0.4 825 3.3 9.2
"39femalepostgraduate11000" 1.3 0.4 225 0.9 3.2
"39femalepostgraduate11001" 1.6 0.4 300 1.2 4
"39femalepostgraduate11010" 1.9 0.4 375 1.5 4.7
"39femalepostgraduate11011" 2.4 0.4 500 2 6
"39femalepostgraduate11100" 3.4 0.4 750 3 8.5
"39femalepostgraduate11101" 4.2 0.4 950 3.8 10.5
"39femalepostgraduate11110" 5 0.4 1150 4.6 12.5
"39femalepostgraduate11111" 6.1 0.4 1425 5.7 15.2
"39femalesecondary00000" 0.6 0.4 50 0.2 1.5
"39femalesecondary00001" 0.8 0.4 100 0.4 2
"39femalesecondary00010" 0.8 0.4 100 0.4 2
"39femalesecondary00011" 1.3 0.4 225 0.9 3.2
"39femalesecondary00100" 1.7 0.4 325 1.3 4.2
"39femalesecondary00101" 2.6 0.4 550 2.2 6.5
"39femalesecondary00110" 2.5 0.4 525 2.1 6.2
"39femalesecondary00111" 3.8 0.4 850 3.4 9.5
"39femalesecondary01000" 0.9 0.4 125 0.5 2.2
"39femalesecondary01001" 1.4 0.4 250 1 3.5
"39femalesecondary01010" 1.4 0.4 250 1 3.5
"39femalesecondary01011" 2.1 0.4 425 1.7 5.2
"39femalesecondary01100" 2.8 0.4 600 2.4 7
"39femalesecondary01101" 4.2 0.4 950 3.8 10.5
"39femalesecondary01110" 4.2 0.4 950 3.8 10.5
"39femalesecondary01111" 6.2 0.4 1450 5.8 15.5
"39femalesecondary10000" 1.1 0.4 175 0.7 2.8
"39femalesecondary10001" 1.4 0.4 250 1 3.5
"39femalesecondary10010" 1.7 0.4 325 1.3 4.2
"39femalesecondary10011" 2.1 0.4 425 1.7 5.2
"39femalesecondary10100" 2.9 0.4 625 2.5 7.2
"39femalesecondary10101" 3.6 0.4 800 3.2 9
"39femalesecondary10110" 4.3 0.4 975 3.9 10.7
"39femalesecondary10111" 5.3 0.4 1225 4.9 13.2
"39femalesecondary11000" 1.9 0.4 375 1.5 4.7
"39femalesecondary11001" 2.3 0.4 475 1.9 5.7
"39femalesecondary11010" 2.7 0.4 575 2.3 6.8
"39femalesecondary11011" 3.4 0.4 750 3 8.5
"39femalesecondary11100" 4.8 0.4 1100 4.4 12
"39femalesecondary11101" 5.9 0.4 1375 5.5 14.8
"39femalesecondary11110" 7 0.4 1650 6.6 17.5
"39femalesecondary11111" 8.6 0.4 2050 8.2 21.5
"39femaletertiary00000" 0.5 0.4 25 0.1 1.2
"39femaletertiary00001" 0.7 0.4 75 0.3 1.7
"39femaletertiary00010" 0.7 0.4 75 0.3 1.7
"39femaletertiary00011" 1 0.4 150 0.6 2.5
"39femaletertiary00100" 1.4 0.4 250 1 3.5
"39femaletertiary00101" 2.1 0.4 425 1.7 5.2
"39femaletertiary00110" 2.1 0.4 425 1.7 5.2
"39femaletertiary00111" 3.1 0.4 675 2.7 7.8
"39femaletertiary01000" 0.8 0.4 100 0.4 2
"39femaletertiary01001" 1.2 0.4 200 0.8 3
"39femaletertiary01010" 1.1 0.4 175 0.7 2.8
"39femaletertiary01011" 1.7 0.4 325 1.3 4.2
"39femaletertiary01100" 2.3 0.4 475 1.9 5.7
"39femaletertiary01101" 3.5 0.4 775 3.1 8.8
"39femaletertiary01110" 3.5 0.4 775 3.1 8.8
"39femaletertiary01111" 5.1 0.4 1175 4.7 12.7
"39femaletertiary10000" 0.9 0.4 125 0.5 2.2
"39femaletertiary10001" 1.1 0.4 175 0.7 2.8
"39femaletertiary10010" 1.4 0.4 250 1 3.5
"39femaletertiary10011" 1.7 0.4 325 1.3 4.2
"39femaletertiary10100" 2.4 0.4 500 2 6
"39femaletertiary10101" 3 0.4 650 2.6 7.5
"39femaletertiary10110" 3.6 0.4 800 3.2 9
"39femaletertiary10111" 4.4 0.4 1000 4 11
"39femaletertiary11000" 1.5 0.4 275 1.1 3.8
"39femaletertiary11001" 1.9 0.4 375 1.5 4.7
"39femaletertiary11010" 2.3 0.4 475 1.9 5.7
"39femaletertiary11011" 2.8 0.4 600 2.4 7
"39femaletertiary11100" 4 0.4 900 3.6 10
"39femaletertiary11101" 4.9 0.4 1125 4.5 12.2
"39femaletertiary11110" 5.8 0.4 1350 5.4 14.5
"39femaletertiary11111" 7.1 0.4 1675 6.7 17.7
"39malebasic00000" 1.2 0.7 71 0.5 1.7
"39malebasic00001" 1.8 0.7 157 1.1 2.6
"39malebasic00010" 1.8 0.7 157 1.1 2.6
"39malebasic00011" 2.7 0.7 286 2 3.9
"39malebasic00100" 3.7 0.7 429 3 5.3
"39malebasic00101" 5.5 0.7 686 4.8 7.9
"39malebasic00110" 5.4 0.7 671 4.7 7.7
"39malebasic00111" 8.1 0.7 1057 7.4 11.6
"39malebasic01000" 2 0.7 186 1.3 2.9
"39malebasic01001" 3 0.7 329 2.3 4.3
"39malebasic01010" 3 0.7 329 2.3 4.3
"39malebasic01011" 4.4 0.7 529 3.7 6.3
"39malebasic01100" 6 0.7 757 5.3 8.6
"39malebasic01101" 8.9 0.7 1171 8.2 12.7
"39malebasic01110" 8.8 0.7 1157 8.1 12.6
"39malebasic01111" 12.9 0.7 1743 12.2 18.4
"39malebasic10000" 2.4 0.7 243 1.7 3.4
"39malebasic10001" 3 0.7 329 2.3 4.3
"39malebasic10010" 3.6 0.7 414 2.9 5.1
"39malebasic10011" 4.4 0.7 529 3.7 6.3
"39malebasic10100" 6.3 0.7 800 5.6 9
"39malebasic10101" 7.7 0.7 1000 7 11
"39malebasic10110" 9.1 0.7 1200 8.4 13
"39malebasic10111" 11.1 0.7 1486 10.4 15.9
"39malebasic11000" 4 0.7 471 3.3 5.7
"39malebasic11001" 4.9 0.7 600 4.2 7
"39malebasic11010" 5.8 0.7 729 5.1 8.3
"39malebasic11011" 7.1 0.7 914 6.4 10.1
"39malebasic11100" 10 0.7 1329 9.3 14.3
"39malebasic11101" 12.2 0.7 1643 11.5 17.4
"39malebasic11110" 14.4 0.7 1957 13.7 20.6
"39malebasic11111" 17.5 0.7 2400 16.8 25
"39malepostgraduate00000" 0.7 0.7 0 0 1
"39malepostgraduate00001" 1.1 0.7 57 0.4 1.6
"39malepostgraduate00010" 1.1 0.7 57 0.4 1.6
"39malepostgraduate00011" 1.6 0.7 129 0.9 2.3
"39malepostgraduate00100" 2.2 0.7 214 1.5 3.1
"39malepostgraduate00101" 3.3 0.7 371 2.6 4.7
"39malepostgraduate00110" 3.2 0.7 357 2.5 4.6
"39malepostgraduate00111" 4.8 0.7 586 4.1 6.9
"39malepostgraduate01000" 1.2 0.7 71 0.5 1.7
"39malepostgraduate01001" 1.8 0.7 157 1.1 2.6
"39malepostgraduate01010" 1.8 0.7 157 1.1 2.6
"39malepostgraduate01011" 2.6 0.7 271 1.9 3.7
"39malepostgraduate01100" 3.6 0.7 414 2.9 5.1
"39malepostgraduate01101" 5.4 0.7 671 4.7 7.7
"39malepostgraduate01110" 5.3 0.7 657 4.6 7.6
"39malepostgraduate01111" 7.9 0.7 1029 7.2 11.3
"39malepostgraduate10000" 1.4 0.7 100 0.7 2
"39malepostgraduate10001" 1.8 0.7 157 1.1 2.6
"39malepostgraduate10010" 2.1 0.7 200 1.4 3
"39malepostgraduate10011" 2.6 0.7 271 1.9 3.7
"39malepostgraduate10100" 3.8 0.7 443 3.1 5.4
"39malepostgraduate10101" 4.6 0.7 557 3.9 6.6
"39malepostgraduate10110" 5.5 0.7 686 4.8 7.9
"39malepostgraduate10111" 6.7 0.7 857 6 9.6
"39malepostgraduate11000" 2.4 0.7 243 1.7 3.4
"39malepostgraduate11001" 2.9 0.7 314 2.2 4.1
"39malepostgraduate11010" 3.5 0.7 400 2.8 5
"39malepostgraduate11011" 4.3 0.7 514 3.6 6.1
"39malepostgraduate11100" 6.1 0.7 771 5.4 8.7
"39malepostgraduate11101" 7.5 0.7 971 6.8 10.7
"39malepostgraduate11110" 8.9 0.7 1171 8.2 12.7
"39malepostgraduate11111" 10.8 0.7 1443 10.1 15.4
"39malesecondary00000" 1 0.7 43 0.3 1.4
"39malesecondary00001" 1.6 0.7 129 0.9 2.3
"39malesecondary00010" 1.5 0.7 114 0.8 2.1
"39malesecondary00011" 2.3 0.7 229 1.6 3.3
"39malesecondary00100" 3.2 0.7 357 2.5 4.6
"39malesecondary00101" 4.7 0.7 571 4 6.7
"39malesecondary00110" 4.6 0.7 557 3.9 6.6
"39malesecondary00111" 6.9 0.7 886 6.2 9.9
"39malesecondary01000" 1.7 0.7 143 1 2.4
"39malesecondary01001" 2.6 0.7 271 1.9 3.7
"39malesecondary01010" 2.5 0.7 257 1.8 3.6
"39malesecondary01011" 3.7 0.7 429 3 5.3
"39malesecondary01100" 5.1 0.7 629 4.4 7.3
"39malesecondary01101" 7.6 0.7 986 6.9 10.9
"39malesecondary01110" 7.5 0.7 971 6.8 10.7
"39malesecondary01111" 11 0.7 1471 10.3 15.7
"39malesecondary10000" 2.1 0.7 200 1.4 3
"39malesecondary10001" 2.5 0.7 257 1.8 3.6
"39malesecondary10010" 3 0.7 329 2.3 4.3
"39malesecondary10011" 3.7 0.7 429 3 5.3
"39malesecondary10100" 5.3 0.7 657 4.6 7.6
"39malesecondary10101" 6.5 0.7 829 5.8 9.3
"39malesecondary10110" 7.8 0.7 1014 7.1 11.1
"39malesecondary10111" 9.5 0.7 1257 8.8 13.6
"39malesecondary11000" 3.4 0.7 386 2.7 4.9
"39malesecondary11001" 4.2 0.7 500 3.5 6
"39malesecondary11010" 5 0.7 614 4.3 7.1
"39malesecondary11011" 6.1 0.7 771 5.4 8.7
"39malesecondary11100" 8.6 0.7 1129 7.9 12.3
"39malesecondary11101" 10.4 0.7 1386 9.7 14.9
"39malesecondary11110" 12.4 0.7 1671 11.7 17.7
"39malesecondary11111" 15.1 0.7 2057 14.4 21.6
"39maletertiary00000" 0.9 0.7 29 0.2 1.3
"39maletertiary00001" 1.3 0.7 86 0.6 1.9
"39maletertiary00010" 1.3 0.7 86 0.6 1.9
"39maletertiary00011" 1.9 0.7 171 1.2 2.7
"39maletertiary00100" 2.6 0.7 271 1.9 3.7
"39maletertiary00101" 3.9 0.7 457 3.2 5.6
"39maletertiary00110" 3.8 0.7 443 3.1 5.4
"39maletertiary00111" 5.7 0.7 714 5 8.1
"39maletertiary01000" 1.4 0.7 100 0.7 2
"39maletertiary01001" 2.1 0.7 200 1.4 3
"39maletertiary01010" 2.1 0.7 200 1.4 3
"39maletertiary01011" 3.1 0.7 343 2.4 4.4
"39maletertiary01100" 4.3 0.7 514 3.6 6.1
"39maletertiary01101" 6.3 0.7 800 5.6 9
"39maletertiary01110" 6.2 0.7 786 5.5 8.9
"39maletertiary01111" 9.2 0.7 1214 8.5 13.1
"39maletertiary10000" 1.7 0.7 143 1 2.4
"39maletertiary10001" 2.1 0.7 200 1.4 3
"39maletertiary10010" 2.5 0.7 257 1.8 3.6
"39maletertiary10011" 3.1 0.7 343 2.4 4.4
"39maletertiary10100" 4.4 0.7 529 3.7 6.3
"39maletertiary10101" 5.4 0.7 671 4.7 7.7
"39maletertiary10110" 6.5 0.7 829 5.8 9.3
"39maletertiary10111" 7.9 0.7 1029 7.2 11.3
"39maletertiary11000" 2.8 0.7 300 2.1 4
"39maletertiary11001" 3.4 0.7 386 2.7 4.9
"39maletertiary11010" 4.1 0.7 486 3.4 5.9
"39maletertiary11011" 5 0.7 614 4.3 7.1
"39maletertiary11100" 7.1 0.7 914 6.4 10.1
"39maletertiary11101" 8.7 0.7 1143 8 12.4
"39maletertiary11110" 10.4 0.7 1386 9.7 14.9
"39maletertiary11111" 12.6 0.7 1700 11.9 18
"40femalebasic00000" 0.7 0.4 75 0.3 1.7
"40femalebasic00001" 1.1 0.4 175 0.7 2.8
"40femalebasic00010" 1 0.4 150 0.6 2.5
"40femalebasic00011" 1.6 0.4 300 1.2 4
"40femalebasic00100" 2.1 0.4 425 1.7 5.2
"40femalebasic00101" 3.1 0.4 675 2.7 7.8
"40femalebasic00110" 3 0.4 650 2.6 7.5
"40femalebasic00111" 4.4 0.4 1000 4 11
"40femalebasic01000" 1.2 0.4 200 0.8 3
"40femalebasic01001" 1.8 0.4 350 1.4 4.5
"40femalebasic01010" 1.7 0.4 325 1.3 4.2
"40femalebasic01011" 2.6 0.4 550 2.2 6.5
"40femalebasic01100" 3.4 0.4 750 3 8.5
"40femalebasic01101" 5.1 0.4 1175 4.7 12.7
"40femalebasic01110" 4.9 0.4 1125 4.5 12.2
"40femalebasic01111" 7.2 0.4 1700 6.8 18
"40femalebasic10000" 1.5 0.4 275 1.1 3.8
"40femalebasic10001" 1.8 0.4 350 1.4 4.5
"40femalebasic10010" 2.1 0.4 425 1.7 5.2
"40femalebasic10011" 2.5 0.4 525 2.1 6.2
"40femalebasic10100" 3.5 0.4 775 3.1 8.8
"40femalebasic10101" 4.3 0.4 975 3.9 10.7
"40femalebasic10110" 5 0.4 1150 4.6 12.5
"40femalebasic10111" 6.1 0.4 1425 5.7 15.2
"40femalebasic11000" 2.4 0.4 500 2 6
"40femalebasic11001" 2.9 0.4 625 2.5 7.2
"40femalebasic11010" 3.4 0.4 750 3 8.5
"40femalebasic11011" 4.2 0.4 950 3.8 10.5
"40femalebasic11100" 5.7 0.4 1325 5.3 14.2
"40femalebasic11101" 7 0.4 1650 6.6 17.5
"40femalebasic11110" 8 0.4 1900 7.6 20
"40femalebasic11111" 9.8 0.4 2350 9.4 24.5
"40femalepostgraduate00000" 0.4 0.4 0 0 1
"40femalepostgraduate00001" 0.7 0.4 75 0.3 1.7
"40femalepostgraduate00010" 0.6 0.4 50 0.2 1.5
"40femalepostgraduate00011" 0.9 0.4 125 0.5 2.2
"40femalepostgraduate00100" 1.2 0.4 200 0.8 3
"40femalepostgraduate00101" 1.9 0.4 375 1.5 4.7
"40femalepostgraduate00110" 1.8 0.4 350 1.4 4.5
"40femalepostgraduate00111" 2.6 0.4 550 2.2 6.5
"40femalepostgraduate01000" 0.7 0.4 75 0.3 1.7
"40femalepostgraduate01001" 1.1 0.4 175 0.7 2.8
"40femalepostgraduate01010" 1 0.4 150 0.6 2.5
"40femalepostgraduate01011" 1.5 0.4 275 1.1 3.8
"40femalepostgraduate01100" 2 0.4 400 1.6 5
"40femalepostgraduate01101" 3.1 0.4 675 2.7 7.8
"40femalepostgraduate01110" 2.9 0.4 625 2.5 7.2
"40femalepostgraduate01111" 4.3 0.4 975 3.9 10.7
"40femalepostgraduate10000" 0.9 0.4 125 0.5 2.2
"40femalepostgraduate10001" 1.1 0.4 175 0.7 2.8
"40femalepostgraduate10010" 1.2 0.4 200 0.8 3
"40femalepostgraduate10011" 1.5 0.4 275 1.1 3.8
"40femalepostgraduate10100" 2.1 0.4 425 1.7 5.2
"40femalepostgraduate10101" 2.6 0.4 550 2.2 6.5
"40femalepostgraduate10110" 3 0.4 650 2.6 7.5
"40femalepostgraduate10111" 3.7 0.4 825 3.3 9.2
"40femalepostgraduate11000" 1.4 0.4 250 1 3.5
"40femalepostgraduate11001" 1.7 0.4 325 1.3 4.2
"40femalepostgraduate11010" 2 0.4 400 1.6 5
"40femalepostgraduate11011" 2.5 0.4 525 2.1 6.2
"40femalepostgraduate11100" 3.4 0.4 750 3 8.5
"40femalepostgraduate11101" 4.2 0.4 950 3.8 10.5
"40femalepostgraduate11110" 4.9 0.4 1125 4.5 12.2
"40femalepostgraduate11111" 6 0.4 1400 5.6 15
"40femalesecondary00000" 0.6 0.4 50 0.2 1.5
"40femalesecondary00001" 0.9 0.4 125 0.5 2.2
"40femalesecondary00010" 0.9 0.4 125 0.5 2.2
"40femalesecondary00011" 1.3 0.4 225 0.9 3.2
"40femalesecondary00100" 1.8 0.4 350 1.4 4.5
"40femalesecondary00101" 2.7 0.4 575 2.3 6.8
"40femalesecondary00110" 2.5 0.4 525 2.1 6.2
"40femalesecondary00111" 3.8 0.4 850 3.4 9.5
"40femalesecondary01000" 1 0.4 150 0.6 2.5
"40femalesecondary01001" 1.5 0.4 275 1.1 3.8
"40femalesecondary01010" 1.5 0.4 275 1.1 3.8
"40femalesecondary01011" 2.2 0.4 450 1.8 5.5
"40femalesecondary01100" 2.9 0.4 625 2.5 7.2
"40femalesecondary01101" 4.3 0.4 975 3.9 10.7
"40femalesecondary01110" 4.1 0.4 925 3.7 10.2
"40femalesecondary01111" 6.1 0.4 1425 5.7 15.2
"40femalesecondary10000" 1.2 0.4 200 0.8 3
"40femalesecondary10001" 1.5 0.4 275 1.1 3.8
"40femalesecondary10010" 1.7 0.4 325 1.3 4.2
"40femalesecondary10011" 2.2 0.4 450 1.8 5.5
"40femalesecondary10100" 3 0.4 650 2.6 7.5
"40femalesecondary10101" 3.7 0.4 825 3.3 9.2
"40femalesecondary10110" 4.2 0.4 950 3.8 10.5
"40femalesecondary10111" 5.2 0.4 1200 4.8 13
"40femalesecondary11000" 2 0.4 400 1.6 5
"40femalesecondary11001" 2.5 0.4 525 2.1 6.2
"40femalesecondary11010" 2.9 0.4 625 2.5 7.2
"40femalesecondary11011" 3.5 0.4 775 3.1 8.8
"40femalesecondary11100" 4.9 0.4 1125 4.5 12.2
"40femalesecondary11101" 6 0.4 1400 5.6 15
"40femalesecondary11110" 6.9 0.4 1625 6.5 17.2
"40femalesecondary11111" 8.4 0.4 2000 8 21
"40femaletertiary00000" 0.5 0.4 25 0.1 1.2
"40femaletertiary00001" 0.8 0.4 100 0.4 2
"40femaletertiary00010" 0.7 0.4 75 0.3 1.7
"40femaletertiary00011" 1.1 0.4 175 0.7 2.8
"40femaletertiary00100" 1.5 0.4 275 1.1 3.8
"40femaletertiary00101" 2.2 0.4 450 1.8 5.5
"40femaletertiary00110" 2.1 0.4 425 1.7 5.2
"40femaletertiary00111" 3.1 0.4 675 2.7 7.8
"40femaletertiary01000" 0.8 0.4 100 0.4 2
"40femaletertiary01001" 1.3 0.4 225 0.9 3.2
"40femaletertiary01010" 1.2 0.4 200 0.8 3
"40femaletertiary01011" 1.8 0.4 350 1.4 4.5
"40femaletertiary01100" 2.4 0.4 500 2 6
"40femaletertiary01101" 3.6 0.4 800 3.2 9
"40femaletertiary01110" 3.4 0.4 750 3 8.5
"40femaletertiary01111" 5.1 0.4 1175 4.7 12.7
"40femaletertiary10000" 1 0.4 150 0.6 2.5
"40femaletertiary10001" 1.3 0.4 225 0.9 3.2
"40femaletertiary10010" 1.4 0.4 250 1 3.5
"40femaletertiary10011" 1.8 0.4 350 1.4 4.5
"40femaletertiary10100" 2.5 0.4 525 2.1 6.2
"40femaletertiary10101" 3 0.4 650 2.6 7.5
"40femaletertiary10110" 3.5 0.4 775 3.1 8.8
"40femaletertiary10111" 4.3 0.4 975 3.9 10.7
"40femaletertiary11000" 1.7 0.4 325 1.3 4.2
"40femaletertiary11001" 2.1 0.4 425 1.7 5.2
"40femaletertiary11010" 2.4 0.4 500 2 6
"40femaletertiary11011" 2.9 0.4 625 2.5 7.2
"40femaletertiary11100" 4 0.4 900 3.6 10
"40femaletertiary11101" 5 0.4 1150 4.6 12.5
"40femaletertiary11110" 5.7 0.4 1325 5.3 14.2
"40femaletertiary11111" 7 0.4 1650 6.6 17.5
"40malebasic00000" 1.3 0.8 62 0.5 1.6
"40malebasic00001" 2 0.8 150 1.2 2.5
"40malebasic00010" 1.9 0.8 137 1.1 2.4
"40malebasic00011" 2.9 0.8 262 2.1 3.6
"40malebasic00100" 3.8 0.8 375 3 4.7
"40malebasic00101" 5.7 0.8 612 4.9 7.1
"40malebasic00110" 5.4 0.8 575 4.6 6.8
"40malebasic00111" 8 0.8 900 7.2 10
"40malebasic01000" 2.2 0.8 175 1.4 2.8
"40malebasic01001" 3.3 0.8 312 2.5 4.1
"40malebasic01010" 3.1 0.8 287 2.3 3.9
